product_name,brands,categories,ingredients_text,packaging,energy_kcal,fat,sugars,proteins,salt,general_category
,Jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","lait ecremé, créme, ferments lactiques. Matière grasse: 6% Poids net:90g",,101.0,6.0,0.0,7.6,0.0,Other
Lindt Excellence 90%,Lindt & sprüngli (nordic),"Snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates","Kakaomasse, kakaosmør, fettredusert kakao, sukker,","en:Aluminium wrap,en:Box cardboard,en:Caja de cartón,en:Card-box,en:Foil-wrapper,es:Recipiente,pt:Papel de aluminio,Étui carton,Feuille aluminium",592.0,55.0,7.0,10.0,0.03,Snacks
Prince Goût Chocolat,LuMondelez,"Botanas,Snacks dulces,Cacao y sus productos,fr:glucide","Céréale 50,7 % (farine de BLÉ 35 %, farine de BLÉ complète 15,7 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de BLE, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), émulsifiants (lécithine de SOJA, lecithine de tournesol), sel, LAIT écrémé en poudre, lactose et protéines de LAIT, arômes. PEUT CONTENIR OEUF.","Packet,Hdpe film-packet,Etui en carton,Film en plastique",467.0,17.0,32.0,6.3,0.49,Snacks
Nutella,Ferrero,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao, en:Petit-déjeuners, en:Produits à tartiner, en:Produits à tartiner sucrés, en:Pâtes à tartiner, en:Pâtes à tartiner au chocolat, en:Pâtes à tartiner aux noisettes, en:Pâtes à tartiner aux noisettes et au cacao","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","Composites multicouches,Plastique,Carton,Verre,PP 5 - Polypropylène,Verre transparent,Carton non ondulé,82 C/X,82 C/PAP,en:Bocal",539.0,30.9,56.3,6.3,0.107,Other
Orange juice,Coca cola,"Cibi e bevande a base vegetale,Bevande,Bevande a base di piante,Bevande a base di frutta,Succo e nettare,en:Orange-based beverages","water, fructose-glucosic syrup, orange juice from concentrate (7%), orange pulp (4%) acid: citric acid, acidity regulator: sodium citrates, stabilisers: arabic gum and glycerolesters of wood resins, antioxidant aroma: ascorbic acid carotene dye","Plastic,it:bottiglia pet",39.0,0.0,17.0,0.0,0.126,Beverages
Ain Saiss Eau Minerale Naturelle,Danone,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","Calcium : 63,5
Magnésium : 35,5
Nitratex : 7
Sodium 8
Chlorures : 19,8
Sulfate : 3,8
Bicarbonate : 372
Potassium : 1",Plastique,0.0,0.0,0.0,0.0,0.0,Other
Sésame,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).","Cardboard,Plastic",467.0,18.0,17.0,10.0,0.38,Snacks
Yaourt nature,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures","Lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné. matière grasse : 2.8%

المكونات: حليب طري كامل، مسحوق الحليب بدون قشدة،نشا، خميرة حليبية مختارة ، المادة الدهنية 2,8%",,161.0,7.5,0.0,7.6,0.1,Other
Ain Atlas,Eau minérale naturelle,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",Sodium 48 Calcium 18 Magnésium 13 Potassium 8 Bicarbonates 217 Chlorures 12 Sulfates Nitrates 4,,0.0,0.0,0.0,0.0,0.12,Other
Mayonnaise recette originale,Star,"Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries","Huile de soja, eau, vinaigre de table, jaune d’œufs, moutarde&quot;, sel, stabilisants (E412, E415), conservateur : (E202, E211) et antioxydant : E330. * contient des sulfites",,592.0,65.21,0.05,1.12,1.75,Condiments
Шоколад 85% какаова маса,J.D. Gross,"Закуски, Сладки закуски, Какаови изделия, Шоколади, Тъмен шоколад","Какаова маса, нискомаслено какао на прах, какаово масло, захар, емулгатор: лецитин (соеви); екстракт от ванилия. Може да съдържа следи от ядки и мляко.","Cardboard,Non-corrugated cardboard",579.0,46.8,12.8,10.8,0.03,Other
Nutella,"Nutella ,Ferrero","en:produits-a-tartiner,en:produits-a-tartiner-sucres,en:pates-a-tartiner,en:pates-a-tartiner-au-chocolat,en:pates-a-tartiner-aux-noisettes,en:pates-a-tartiner-aux-noisettes-et-au-cacao,Petit-déjeuners","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.","Plastic,fr:Pot en verre",539.0,30.9,56.3,6.3,0.107,Other
Sourdough Grains & Seeds,Jason's,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Vegan,Vegetarian","Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Mixed Seeds (Golden Linseeds, Sunflower Seeds (6%), Sprouted Spelt (Wheat) Grains (1.5%), Salt, Fermented Wheat Flour.","en:mixedPlasticFilm-film, en:unknown-bag",237.0,2.7,1.4,10.7,0.825,Grains
Almonds,"Alesto,Lidl","Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Almonds, Shelled nuts, Shelled almonds, Unsalted almonds",shelled almonds,"en:Andere Kunststoffe,en:Kunststoff,en:Tüte",621.0,53.3,4.8,24.5,0.003,Beverages
Ketchup,Star,"en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries",نشا: مشخن المائدة، خل الطماطلخ مركز سكر، ماء، المکونات: وتوابل.حافظة (E202.E211) ملح،مواد معدل,,108.0,0.08,22.36,1.12,0.00555,Condiments
Alesto Cashew Nuts,"Alesto, 14 x Lidl 07.25, 12 x Lidl 07.25, 10 x Lidl 07.25","Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Cashew nuts","cashews,","Plastika,PE 7 - Polietilen,LDPE 4 - polietilen niske gustoće,PET 1 - polietilen tereftalat,PP 5 - polipropilen,en:Bag,OPP,de:LDPE/OPP/PET",600.0,47.6,6.5,20.5,0.02,Beverages
Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,"en:Sweeteners, en:Sugars",Sugar,en:cartoon package,400.0,0.0,100.0,0.0,0.0,Sweets
Salim,Salim,"Dairies, Milks",gluten free,Container,58.0,3.0,0.0,3.0,0.0,Dairy
Henry’s,Henry's,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits","Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",Plastique,440.0,10.8235,24.2353,7.6471,0.882353,Snacks
Coca-Cola,Coca-Cola,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Carbonated soft drinks without fruit juice,Colas,Carbonated soft drinks without fruit juice with sugar,Sweetened beverages","Eau gazéifiée, sucre, colorant: E150d, acidifiant: acide phosphorique, arômes naturels, arôme caféine.","Metal,Recyclable Metals,Aluminium,Can,Drink can,Canette métal à recycler",42.0,0.0,10.6,0.0,0.0,Sweets
Assil,Danone,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts","ليوغور م.د,%2. مصنوع إخط قد يمكن أن يحتوي على الگلوتين، الجوز والبندق. 2.",,95.5,2.7,9.0,3.4,0.0,Dairy
Ciel,"Ciel,The Cocacola Company","Boissons,Eaux,Boissons sans alcool",Eau,"Plastique, Bouteille",0.0,0.0,0.0,0.0,0.025,Other
,Maruja,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food","sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring","Métal,Papier,en:Recyclable Metals,Aluminium",539.0,33.0,50.0,7.2,0.275,Snacks
,BAHIA,"boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux",Eau,5 LITRES,0.0,0.0,0.0,0.0,0.0,Other
Spreadable Slightly Salted,Lurpak,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters","butter (64%) (milk), rapeseed oil, water, lactic culture (milk), salt",en:pp-tub,679.0,75.0,0.0,0.5,0.885,Dairy
Organic 70% Dark Chocolate Bar,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs","Cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #. May contain nuts, milk.",Paper/Foil,580.0,42.0,29.0,9.1,0.01,Snacks
Eau,Aïn lfrane,"Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",Eau minérale naturelle,"Plástico,Garrafa",0.0,0.0,0.0,0.0,3e-06,Other
Jamila,Danone,"Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Yogurts, Fermented milk drinks, Drinkable yogurts, en:fruit-yogurts","Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",Plastique,72.0,1.7,9.0,1.9,0.0,Beverages
Coca-Cola Zero Sugar - 330 ml,Coca-Cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Non-alcoholic beverages, Colas, Diet sodas, Diet cola soft drink","carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin","Metall,Wiederverwertbare Metalle,Aluminium,Dose,Getränkedose",0.3,0.0,0.0,0.0,0.02,Beverages
Sable coco Henry s 42g,Henry's,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco","Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.",Plastique,443.0,12.4,23.8,7.62,0.899,Snacks
Mix de frutos secos al natural,"Alesto,Lidl,Alesto Selection,Alesto Lidl","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,en:Mixed nuts","25% nueces, 25% avellanas, 25% anacardos, 25% almendras peladas. Puede contener trazas de otros frutos de cáscara y cacahuetes.","pecan, noix du Brésil, pistaches, noix de contenir des traces pisettes, macadamia) et d'arachides. Conditionné sous atmosphère protectrice. A conserver à l'abri de la chaleur et de l'humidité. Non ouvert, à consommer de préférence avant le: voir au-dessous. Attention: la consommation de fruits à coque est déconseillée aux jeunes enfants en raison des risques d'étouffement. Ce produit est un produit naturel. En dépit des contrôles 25% 200 ge von:/Produit par:/Prodotto da: Solent GmbH & Co. KG, Hansemann-Str. 1-25, D-52531 Übach-Palenberg, and/Allemagne/Germania Eiweiss/Protéines/Proteine Salz/Sel/Sale étrangers (e.a. des résidus d'écorces). Les valeurs des résidus de corps Erwachsenen (8400 kJ/2000 adulte-type (8400 kJ/2000 kcal adulto medio (8400 kJ/2000 kcal A nutritionnelles indiquées sont soumises aux variations biologiques RI (reference intake) Refere 25% nocciole, 25% noci di acagiù, 25% mandorle pelate. Può contenere IT CH Mix di frutta a guscio sgusciata. Ingredienti: 25% noci, noci macadamia) e arachidi. Confezionato in atmosfera protettiva. tracce di altra frutta a guscio (noci di pecan, noci del Brasile, pistacchi, Omega-3-Fettsäuren: 2,2 g/100g/ Acidi grassi Om Diese Verpackung enthält ca 65 Conservare in luogo fresco e asciutto. Da consumarsi preferibilmente entro il fim confezione integra): vedere sotto. Attenzione: la frutta a guscio non è environ 6,5 portions de 30 g/Que adatta ai bambini piccoli, rischio di soffocamento. Poiché si tratta di un prodotto naturale e nonostante una lavorazione accurata non si garantisce la mpleta eliminazione di noccioli e corpi estranei (frammenti di noccioli, ecc.). Confezione: 7 (Plastica). Raccolta differenziata. Verifica le izioni del tuo Comune. gewicht:/ net/Peso netto: di cui acidi grassi saturi gras saturés/ Kohlenhydrate/Glucides/ Carboidrati davon Zucker/dont suc di cui zuccheri Ballaststoffe/Fibres alime Fibre Prodotto per: Lidl Stiftung & Co. KG, Stiftsbergstr. 1, D-74167 Neckarsulm ad/Allemagne/Germania ✪ 0% Ungeöffnet mindestens a de préférence avant le/Dacon in confezione integral r 10% The weight of this p been reduced by 12% 24.12.202 L 3058 02 611 19/05/2023 11:25",647.0,58.0,4.33,20.3,0.0333,Produce
Aïn Atlas 50cl,Aïn Atlas,"Boissons,Eaux,Eaux de sources,Eaux minérales",eau minerale,Plastique,0.0,0.0,0.0,0.0,0.024,Other
Oat Drink Barista Edition,Oatly,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks","water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),","Tetra Pak,Container,Card-carton,FSC Mix Board,Hdpe-cap,Paper carton,Plastic cap,Produkt",61.0,3.0,4.0,1.1,0.0975,Grains
Lait U.H.T entier,Dost,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache",lait,,58.0,3.0,0.0,3.0,0.0,Other
margarine la prairie 225g,la Prairie,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads","Corps gras végétal, eau, sucre, sel, mono-diglycérides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, β-carotène, 7 vitamines : A, B6, B2, B1, E, D et B12.",,635.0,70.0,0.0,1.0,0.7,Beverages
Tartine croustillante Authentique,"Wasa,Barilla","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Pains croustillants complets","Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.","Papier,Enveloppe,en:Package paper,en:Paper recycling",336.0,1.5,1.0,9.0,1.0,Snacks
70% Cacao noir intense,Lindt,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Snacks, Fromages, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats noirs en tablette, Chocolat noir en tablette extra dégustation à 70% de cacao minimum","Pâte de cacao, sucre, beurre de cacao, vanille. Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.","Métal,Carton,Métaux recyclables,Aluminium",566.0,41.0,30.0,9.5,0.1,Snacks
,Gervais,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures",حليب بدون قشدة ،قشدة ،مسحوق حليب بدون قشدة، سكر، كلورور الكالسيوم،  خمائر حليبية,,137.0,7.0,7.2,7.0,0.5,Dairy
Pâte à tartiner noisettes et cacao,Bonne Maman,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads","sucre, _noisettes_ 20%, huiles végétales (tournesol, colza), _lait_ écrémé en poudre, cacao maigre en poudre 5,5%, beurre de cacao, émulsifiant : lécithine de tournesol, extrait de vanille, Peut contenir d'autres _fruits à coque_,","fr:Bocal en verre, fr:Capsule en métal, en:glass-jar, en:steel-lid",551.0,34.0,51.0,6.7,0.1,Breakfast
Familia 200g,,"Aliments et boissons à base de végétaux, Produits laitiers, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Matières grasses à tartiner, Matières grasses végétales, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Margarines, Beurres","Margarine allégée (60%M.G.):Corps gras et huiles 100% végétales, eau, sel (1%), lécithine (E322), Monoglycéride (E471), Amidon, Sorbate de potassium (E202), Acide citrique (E330), Arôme, Antioxydant (E321), Colorant, Vitamines. Contient du soja.",verre,532.0,60.0,0.0,0.2,0.0,Condiments
Weetabix,Weetabix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.","Box, Container, Card-box, Paper-sleeve",358.0,2.11,4.21,11.8,0.257,Breakfast
Nocciolata,Rigoni Di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao","raw sugar, hazelnut paste 18,5%, sunflower oil, skimmed milk powder, low-fat cocoa powder 6,5%, cocoa butter, emulsifier: soy lecithin, vanilla extract",,544.0,32.0,51.0,8.1,0.125,Other
Eau Minérale Naturelle,Volvic,"beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, natural-mineral-waters, getränke, de:mineralwasser, natürliches-mineralwasser, de:quellwasser, de:wasser",Eau minerale naturelle,"Plastique,Bouteille ou Flacon,Bouteille,Plastikflasche",0.0,0.0,0.0,0.0,0.003,Beverages
Dark chocolate,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs","pâte de cacao*, beurre de cacao*, cacao maigre en poudre*, sucre de canne*, extrait de vanille*, * ingrédients issus de l'agriculture biologique","1 film to recycle, 1 paper wrap to recycle, en:paper-wrapper, en:foil-wrapper",607.0,50.0,14.0,10.0,0.13,Snacks
Excellence 85% Cacao Chocolat Noir Puissant,Lindt,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats noirs en tablette","Fraises 85%, Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille. Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.","fr:emballage carton,fr:papier aluminium",584.0,46.0,15.0,12.5,0.02,Snacks
Tartine Doux,Primevère,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées","vegetable oils and fats nonhydrogenated 54 % rapeseed,    coconut,    palm,    palm kernel,    water,    emulsifiers : mono and diglycerides of fatty acids,    sunflower lecithin,    salt,    natural flavourings,    antioxidant : extracts of rosemary,    concentrated lemon juice,    colouring agents : annatto,    curcumin,    vitamin b1,","Barquette,en:Opercule en métal,Plastique",495.0,55.0,0.0,0.0,0.4,Other
Fourrés Chocolat Noir,Bjorg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat noir","Farine de blé* 39%, Chocolat noir* 25% (pâte de cacao*, sucre de canne*, beurre de cacao*) Sucre de canne* roux non raffiné,  Farine complète de blé* 15%, Huile de tournesol oléique*,  Arôme naturel de vanille,  Lait* écrémé en poudre, Sel de mer, Poudres à lever: carbonates d'ammonium, carbonates de sodium Épaississant: gomme d'acacia* Antioxydant: extraits de romarin* Peut contenir des traces de soja, d'œufs, de fruits à coque, de graines de sésame et de moutarde.","Étui,Carton,Plastique,Sec,Film",481.0,20.0,27.0,7.6,0.49,Snacks
Extra dark chocolate 74% cacao,Fin Carré,"snacks, sweet-snacks, cocoa-and-its-products, chocolates, dark-chocolates, cacao-et-derives, fr:chocolats, fr:chocolats-noirs, fr:chocolats-noirs-extra-fin","cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,","Plastikowe,Mixed plastic-packet,Sachet plastique de 3g,",571.0,42.0,26.0,9.9,0.02,Snacks
El Baraka Confiture De Fraises 430 G,El Baraka,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Produits à tartiner,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises","Fraises (56%), Sucre, gélifiant (E-440) et acidifiant (E-330).",,256.0,0.5,62.0,0.5,0.02,Produce
Hawai Tropical,"Hawai,Coca cola","Boissons,Boissons gazeuses,Sodas","ماء غازي, سكر, مركز عصير البرتقال, محليات, مواد حافظة, مثبت, نكهات طبيعية","Plastique,Bouteille ou Flacon,Bouteille,Matériau recyclable,Plastique recyclable",41.0,0.0,9.5,0.0,0.026,Other
Skyr Nature,Yoplait,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Desserts lactés fermentés nature,Skyrs,Skyrs nature,Fromages",Yaourt maigre (Lait). Lait d'origine France.,,171.0,1.5,10.8,28.5,0.42,Other
Pur beurre de cacahuète,"Jardin Bio,Léa Nature","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Petit-déjeuners,Produits à tartiner,Fruits à coques et dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Purées d'oléagineux,Beurres de légumineuses,Pâtes à tartiner,Beurres de fruits à coques,Beurres de cacahuètes",CACAHUETES issues de l'agriculture biologique. Peut contenir des traces de FRUITS A COQUE et de graines de SESAME.,"Metal,Glass,Jar,Lid",625.0,50.0,5.1,29.0,0.0,Produce
Star Mayonaise,Star,"en:Condiments, en:Sauces, en:Mayonnaises, en:groceries","کلوسید g غ المكونات : زيت الصوجا، مان كل المائدة، أصفر البيض، خردل*، ملح، مثبت E415، مواد حافظة:)1 21 ,E202( و مضادات الأكسدة:(0E385 يحتوي على السولفيت Glucides","Verre, Pot",563.0,62.0,0.0,1.2,5.0,Condiments
Pain de mie grandes tranches Seigle & Graines 500g,La Boulangère,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Breads,Secale,Sliced breads,Rye,Rye breads","Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.","Sec,Fermoir plastique,Sachet plastique",297.0,9.6,4.2,12.0,0.96,Grains
Organic - Lightly Salted - Wholegrain Low Fat - Rice Cakes imp,Kallø,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Puffed wholegrain rice cakes","Organic wholegrain rice 99.8%, Sea Salt","Plastic, Bag, Unknown, en:ldpe-wrapper",394.0,2.8,0.5,8.5,0.295,Grains
Green Tea,green tea,"Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Thés,Thés verts,Thés verts chinois,the vert",,,0.5,0.5,0.2,0.5,0.1,Other
Lait Entier UHT,Jaouda,"Produits laitiers,Laits,Laits homogénéisés,Laits UHT,Laits entiers,Lait entier UHT",lait entier,Souad,58.0,3.63,4.2,3.0,0.0,Other
FIBRES,Wasa,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains croustillants,Pains croustillants complets","Farine complète de SEIGLE (59 g*), son de BLÉ (27 g*), flocons d'AVOINE (12 g*), GRAINES DE SÉSAME (7,0 g*), germe de BLÉ, sel. *en g pour 100 g de produit fini. Peut contenir des traces de LUPIN, LAIT, MOUTARDE et SOJA.","Carta,Busta",333.0,5.0,2.0,13.0,1.2,Other
